developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
07th Expansion,3,0.02,0.11,0.2,0.06666666666666667,0.07
0verflow,2,0.0,0.02,0.02,0.01,0.01
10tacle Studios AG,2,0.03,0.16,0.19,0.095,0.095
11 bit studios,2,0.01,0.03,0.04,0.02,0.02
13AM Games,1,0.02,0.02,0.02,0.02,0.02
1C Company,2,0.0,0.0,0.0,0.0,0.0
1C Company / Avalon Style,1,0.0,0.0,0.0,0.0,0.0
1C Maddox Games,1,0.01,0.01,0.01,0.01,0.01
1C: Maddox Games,4,0.0,0.05,0.11,0.0275,0.03
1C:Ino-Co,3,0.02,0.04,0.08,0.02666666666666667,0.02
1st Playable,1,0.07,0.07,0.07,0.07,0.07
1st Playable Productions,21,0.02,3.14,11.290000000000001,0.5376190476190477,0.33
1st Playable Productions / OneNine Studios,1,0.95,0.95,0.95,0.95,0.95
"2015, Inc.",2,0.0,0.25,0.25,0.125,0.125
20th Century Fox Video Games,5,0.22,0.79,1.9300000000000002,0.386,0.34
2D Boy,1,0.03,0.03,0.03,0.03,0.03
2K Australia / 2K Boston,1,2.83,2.83,2.83,2.83,2.83
2K Boston / 2K Australia / 2K Marin,1,1.44,1.44,1.44,1.44,1.44
2K Czech,3,0.14,0.69,1.24,0.41333333333333333,0.41
2K Games,5,0.08,0.86,1.52,0.304,0.18
2K Marin,5,0.05,2.2,4.29,0.858,0.27
2K Play,2,0.08,0.1,0.18,0.09,0.09
2K Shanghai,1,0.26,0.26,0.26,0.26,0.26
2K Sports,11,0.01,0.21,1.12,0.10181818181818182,0.1
2Wg,1,0.0,0.0,0.0,0.0,0.0
2XL Games,4,0.03,0.21,0.49,0.1225,0.125
3 O'Clock,2,0.03,0.03,0.06,0.03,0.03
343 Industries,3,2.41,9.96,15.81,5.2700000000000005,3.44
369 Interactive,3,0.0,0.12,0.12,0.04,0.0
38 Studios,2,0.85,0.87,1.72,0.86,0.86
3D Realms,3,0.0,0.02,0.04,0.013333333333333334,0.02
3DClouds.it,2,0.01,0.03,0.04,0.02,0.02
3DO,34,0.0,1.28,8.870000000000001,0.2608823529411765,0.17
3Division,1,0.03,0.03,0.03,0.03,0.03
3G Studios,2,0.04,1.27,1.31,0.655,0.655
3d6 Games,4,0.09,1.71,2.01,0.5025,0.105
49Games,23,0.01,1.25,3.29,0.14304347826086958,0.07
